"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image","small_image","thumbnail","custom_design","options_container","page_layout","gift_message_available","url_path","image_label","small_image_label","thumbnail_label","price","cost","weight","special_price","msrp","gia_si","description","meta_keyword","short_description","custom_layout_update","status","tax_class_id","visibility","manufacturer","enable_googlecheckout","is_recurring","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","mau_sac"
"admin","base","Vòng tay","simple","105,112,113","VT029","0","VT029","vt029"," ","Use config","Use config","","","/v/t/vt029-30k.jpg","/v/t/vt029-30k.jpg","/v/t/vt029-30k.jpg","","Block after Info Column","No layout updates","No","vt029.html","","","","30000.0000","","0.0000","","","20000.0000","<h1><font color=""blue"">VÒNG TAY</font></h1>
<h1><font size=""7"" color=""red"">VT029</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt029-30k.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt029a.jpg"" width=""400"" height=""auto"" />
","","Vòng tay VT029","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-16 00:00:00","2013-08-06 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-11 17:09:02","","1","0","1","1","1","0.0000","1","0","0","1","1","VT029","0","simple","","",""
"admin","base","Vòng tay","simple","105,112,113","VT030","0","VT030","vt030"," ","Use config","Use config","","","/v/t/vt030-27k.jpg","/v/t/vt030-27k.jpg","/v/t/vt030-27k.jpg","","Block after Info Column","No layout updates","No","vt030.html","","","","27000.0000","","0.0000","","","18000.0000","<h1><font color=""blue"">VÒNG TAY</font></h1>
<h1><font size=""7"" color=""red"">VT030</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt030-27k.jpg"" width=""400"" height=""auto"" />
","","Vòng tay VT030","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-16 00:00:00","2013-08-06 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-07-15 17:04:53","","1","0","1","1","1","0.0000","1","0","0","1","1","VT030","0","simple","","",""
"admin","base","Vòng tay","simple","105,112,113","VT031","0","VT031","vt031"," ","Use config","Use config","","","/v/t/vt031-25k.jpg","/v/t/vt031-25k.jpg","/v/t/vt031-25k.jpg","","Block after Info Column","No layout updates","No","vt031.html","","","","25000.0000","","0.0000","","","17000.0000","<h1><font color=""blue"">VÒNG TAY</font></h1>
<h1><font size=""7"" color=""red"">VT031</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt031-25k.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt031a.jpg"" width=""400"" height=""auto"" />
","","Vòng tay VT031","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-16 00:00:00","2013-08-06 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-03 09:56:51","","1","0","1","1","1","0.0000","1","0","0","1","1","VT031","0","simple","","",""
"admin","base","Vòng tay","simple","105,112,113","VT032","0","VT032","vt032"," ","Use config","Use config","","","/v/t/vt032-25k.jpg","/v/t/vt032-25k.jpg","/v/t/vt032-25k.jpg","","Block after Info Column","No layout updates","No","vt032.html","","","","25000.0000","","0.0000","","","17000.0000","<h1><font color=""blue"">VÒNG TAY</font></h1>
<h1><font size=""7"" color=""red"">VT032</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt032-25k.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt032a.jpg"" width=""400"" height=""auto"" />
","","Vòng tay VT032","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-11-06 00:00:00","2013-12-06 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","VT032","0","simple","","",""
"admin","base","Vòng tay","simple","105,112,113","VT034","0","VT034","vt034"," ","Use config","Use config","","","/v/t/vt034-50k.jpg","/v/t/vt034-50k.jpg","/v/t/vt034-50k.jpg","","Block after Info Column","No layout updates","No","vt034.html","","","","50000.0000","","0.0000","","","33000.0000","<h1><font color=""blue"">VÒNG TAY</font></h1>
<h1><font size=""7"" color=""red"">VT034</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt034-50k.jpg"" width=""400"" height=""auto"" />
","","Vòng tay VT034","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-16 00:00:00","2013-08-06 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-11 17:09:02","","1","0","1","1","1","0.0000","1","0","0","1","1","VT034","0","simple","","",""
"admin","base","Vòng tay","simple","105,112,113","VT036","0","VT036","vt036"," ","Use config","Use config","","","/v/t/vt036.jpg","/v/t/vt036.jpg","/v/t/vt036.jpg","","Block after Info Column","No layout updates","No","vt036.html","","","","50000.0000","","0.0000","","","33000.0000","<h1><font color=""blue"">VÒNG TAY</font></h1>
<h1><font size=""7"" color=""red"">VT036</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt036.jpg"" width=""400"" height=""auto"" />
","","Vòng tay VT036","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-16 00:00:00","2013-08-06 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-09-11 10:12:10","","1","0","1","1","1","0.0000","1","0","0","1","1","VT036","0","simple","","",""
"admin","base","Vòng tay","simple","105,112,113","VT038","0","VT038","vt038"," ","Use config","Use config","","","/v/t/vt038-25k.jpg","/v/t/vt038-25k.jpg","/v/t/vt038-25k.jpg","","Block after Info Column","No layout updates","No","vt038.html","","","","25000.0000","","0.0000","","","17000.0000","<h1><font color=""blue"">VÒNG TAY</font></h1>
<h1><font size=""7"" color=""red"">VT038</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt038-25k.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/v/t/vt038a.jpg"" width=""400"" height=""auto"" />
","","Vòng tay VT038","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-16 00:00:00","2013-08-06 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-07-28 10:11:25","","1","0","1","1","1","0.0000","1","0","0","1","1","VT038","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT168","0","BT168","bt168"," ","Use config","Use config","","","/b/t/bt168-35k.jpg","/b/t/bt168-35k.jpg","/b/t/bt168-35k.jpg","","Block after Info Column","No layout updates","No","bt168.html","","","","35000.0000","","0.0000","","","23000.0000","<h1><font color=""blue"">BÔNG TAI</font></h1>
<h1><font size=""7"" color=""red"">BT168</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/b/t/bt168-35k.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/b/t/bt168a.jpg"" width=""400"" height=""auto"" />
","","Bông tai BT168","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-27 00:00:00","2013-08-23 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT168","0","simple","","","ĐỎ"
"admin","base","Bông Tai","simple","105,106,113","BT169","0","BT169","bt169"," ","Use config","Use config","","","/b/t/bt169-25k.jpg","/b/t/bt169-25k.jpg","/b/t/bt169-25k.jpg","","Block after Info Column","No layout updates","No","bt169.html","","","","25000.0000","","0.0000","","","17000.0000","<h1><font color=""blue"">BÔNG TAI</font></h1>
<h1><font size=""7"" color=""red"">BT169</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/b/t/bt169-25k.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/b/t/bt169a.jpg"" width=""400"" height=""auto"" />
","","Bông tai BT169","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-11-06 00:00:00","2013-12-06 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT169","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC116","0","DC116","dc116"," ","Use config","Use config","","","/d/c/dc116-40k.jpg","/d/c/dc116-40k.jpg","/d/c/dc116-40k.jpg","","Block after Info Column","No layout updates","No","dc116.html","","","","40000.0000","","0.0000","","","26000.0000","<h1><font color=""blue"">DÂY CHUYỀN</font></h1>
<h1><font size=""7"" color=""red"">DC116</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/d/c/dc116a.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/d/c/dc116-40k.jpg"" width=""400"" height=""auto"" />
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/d/c/dc116b.jpg"" width=""400"" height=""auto"" />
","","Dây chuyền DC116","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-27 00:00:00","2013-08-16 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","DC116","0","simple","","",""
